PLU,CATEGORY,NAME,INGREDIENTS,COOKING_INSTRUCTIONS_BAKED,COOKING_INSTRUCTIONS_FRIED
153,Cheese,Mozzerella Sticks,"Contains: MILK AND WHEAT, String Cheese (Mozzarella Cheese (Pasteurized Milk, Cultures, Salt, Enzymes), Modified Food Starch), Enriched Bleached Wheat Flour (Wheat Flour, Niacin, Ferrous Sulfate, Thiamine Mononitrate, Riboflavin, Folic Acid), Water. Contains less than 2% of: Romano and Parmesan Cheese Blend (Pasteurized Milk, Cheese Cultures, Salt, Enzymes). Dried Garlic, Dried onion, Dried Parsley, Spices, Yellow Corn Flour, Sugar, Natural Flavor, Yeast, Soybean Oil, Dextrose, Modified Corn Starch, Leavening (Sodium Acid Pyrophosphate, Sodium Bicarbonate), Salt.",No Baking Instructions,"Product Must Be Fully Cooked. Keep Frozen Until Ready To Use. Due to Differences in appliances, cooking times may vary and require adjustment. 350 degrees fahrenheit for 3.75 minutes. CAUTION: Ice Crystals on frozen foods can cause spattering when added to hot oil. Add product carefully. Product must be fully cooked. Do not allow product to thaw. "
154,Appetizer,Breaded Mushrooms,"Contains: WHEAT, Mushrooms, Wheat Flour, Water, Yellow Corn Flour, Modified Corn Starch, Contains 2% or less of Calcium Chloride, Dextrose, Erythorbic Acid (preservative), Garlic Powder, Leavening (Sodium Acid Pyrophosphate, Sodium Bicarbonate), Natural Flavors, Onion Powder, Salt, Spices, Sugar, Yeast.",CONVECTION Oven- 375 degrees 8 - 9 minutes; CONVENTIONAL Oven- 425 degrees for 9.5 minutes,Deep Fry Frozen Product at 350 degrees for 4.5 minutes
467,Cheese,Breaded Hot Pepper Cheese Cubes,"Contains: MILK AND WHEAT, Pasteurized Process Pepper Cheese Food [American Cheese and Swiss Cheese (Milk, Salt Cultures, Enzymes), Water, Jalapeno Peppers (Peppers, Salt, Vinegar, Calcium Chloride, Potassium Sorbate (Preservative), Cream, Sodium Phosphate, Salt, Sorbic Acid (Preservative)], Enriched Wheat Flour (Wheat Flour, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid), Enriched Wheat Flour (Wheat Flour, Niacin, Ferrous Sulfate, Thiamine Mononitrate, Riboflavin, Folic Acid), Water, Yellow Corn Flour. Contains 2% or less of Dextrose, Garlic Powder, Leavening (Sodium Acid Pyrophosphate, Sodium Bicarbonate, Monocalcium Phosphate), Modified Corn Starch, Natural Flavors, Onion Powder, Salt, Salt Blend (Potassium Chloride, Sea Salt), Spices, Sugar, Whey, Yeast.",No Baking Instructions,Product must be fully cooked. Do not allow product to thaw. Deep Fry from a Frozen state at 350 degrees Fahrenheit for 2.5 minutes.
178,Cheese,Breaded Cheddar Cheese Cubes,"Contains: MILK AND WHEAT, Pasteurized Process Cheddar Cheese (Cheddar Cheese (Pasteurized Cultured Milk, Salt, Enzymes), Water, Cream, Sodium Phosphate, Salt, Sorbic Acid, Artificial Color), Water, Bleached Wheat Flour, Bleached Enriched Wheat Flour (Bleached Wheat Flour, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid), Yellow Corn Flour. Contains 2% or less of Brewer's Yeast, Dehydrated Parsley, Dextrose, Dried Garlic, Guar Gum, Leavening (Sodium Bicarbonate, Sodium Aluminum Phosphate), Modified Corn Starch, Natural Flavors, Onion Powder, Salt Soybean Oil, Spices, Sugar, Yeast",No Baking Instructions,Product must be fully cooked. Do not allow product to thaw. Deep Fry from a Frozen state at 350 degrees Fahrenheit for 2.5 minutes.
197,Appetizer,Battered Cauliflower,"Contains: WHEAT, SOY, MILK, EGG, Cauliflower, Water, Bleached Wheat Flour, Yellow Corn Flower, Contains Less Than 2% of: Nonfat Dry Milk, Whey (Milk), Dried Whole Eggs, Spices, Soy Flour, Dextrose, Leavening (Sodium Bicarbonate, Sodium Acid Pyrophosphate, Sodium Aluminum Phosphate, Monocalcium Phosphate), Modified Corn Starch, Sugar, Guar Gum, Methylcellulose, Mono and Diglycerides, Extractives of Paprika (Color), Oleoresin Turmeric (Color), Soybean Oil, Salt. Pre-Fried in Vegetable Oil (Soybean and /or Cottonseed oil). ",CONVENTIONAL Oven- 425 degrees for 9.5 minutes; CONVECTION Oven- 375 degrees for 8 - 9 minutes. NOTE: Internal temperature should be at 160 degrees.,Deep Fry for 3.5 - 4 minutes at 350 degrees. NOTE: Internal temperature should be at 160 degrees
232,Appetizer,Jalapeno Poppers,"Contains: MILK AND WHEAT, Water, Green Jalapeno Peppers (Peppers, Water, Acetic Acid, Salt. Calcium Chloride, Sodium Benzoate (Preservative), Bleached Enriched Wheat Flour (Bleached Wheat Flour, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid), Cheddar Cheese (Pasteurized Milk, Cheese Cultures, Salt, Enzymes), Yellow Corn Flower, Dehydrated Potatoes (Potatoes, Mono- and Diglycerides, Sodium Acid Pyrophosphate (to preserve color), Citric Acid (to preserve color), Modified Corn Starch, Cheese Sauce mix, (Dehydrated Blend of Cheese (Semisoft and Cheddar Cheeses (Pasteurized Milk, Cheese Culture, Salt, Enzymes)), Modified Corn Starch, Whey, Salt, Cellulose Gum, Butter (Cream, Salt), Sodium Phosphate, Silicon Dioxide, Lactic Acid, Citric Acid, Yellow 6). Contains 2 % or less of Apocarotenal (color), Canola Oil, Dextrose, Enzyme Modified Cheese (Pasteurized Milk, Water, Milkfat, Sodium Phosphate, Cheese Culture, Salt, Enzymes), Lactic Acid, Leavening (Sodium Aluminum Phosphate, Sodium Bicarbonate). Milk Protein Concentrate, Salt, Sodium Hexametaphosphate, Sodium Phosphate, Sorbic Acid (Preservative), Spices, Sugar, Wheat Starch, Whey, Yeast, Yellow 5, Yellow 6.",No Baking Instructions,Deep Fry frozen product at 350 degrees for 3.75 minutes. DO NOT RECOMMEND FOR MICROWAVE!
3,Potato,Shoestring French Fries,"Potatoes, Palm oil, Sodium Acid Pyrophosphate (to promote color retention), Dextrose (to promote browning).","Heat oven to 375 - 400 degrees, spray cookie sheet with Pam cooking spray, spread fries onto the baking sheet, place on center rack in oven for 15 minutes, flip the french fries and cook for 10 - 12 more minutes on the top rack of the oven.","Heat in hot oil, 350 Degrees Fahrenheit for 3 – 4 minutes."
2,Potato,Crinkle Cut Fries,"Potatoes, Palm oil, Sodium Acid Pyrophosphate (To Promote color retention), Dextrose (to promote browning).","Heat oven to 375 - 400 degrees, spray cookie sheet with Pam cooking spray, spread fries onto the baking sheet, place on center rack in oven for 15 minutes, flip the french fries and cook for 10 - 12 more minutes on the top rack of the oven.","Heat in hot oil, 350 Degrees Fahrenheit for 3 – 4 minutes."
26,Potato,Triangle Fries,"Potatoes, Vegetable Oil (Contains One or More of the Following Oils: Canola, Soybean, Cottonseed, Sunflower, Corn). Contains 2 % or less of Dehydrated Onion, Dextrose, Natural Flavor, Salt, Sodium Acid Pyrophosphate added to maintain color.","Heat oven to 375 - 400 degrees, spray cookie sheet with Pam cooking spray, spread fries onto the baking sheet, place on center rack in oven for 15 minutes, flip the french fries and cook for 10 - 12 more minutes on the top rack of the oven. CONVECTION OVEN: Spread Frozen patties in a single layer on a flat baking sheet or pan. Cook at 425 degrees Fahrenheit for 10 – 15 minutes, turn once, cook to a golden light color. DO NOT RECOMMEND MICROWAVING!","Fill basket half full and cook at 350 Degrees Fahrenheit for 2.5 - 3 minutes, shake basket after 30 seconds."
24,Potato,Waffle Fries,"Potatoes, Vegetable Oil (Soybean, Canola, Cottonseed, and/or Sunflower), Contains less than 2 % of Dextrose, Disodium Dihydrogen Pyrophosphate (to maintain Natural color).","CONVECTION Oven: Arrange fries in a single layer on sheet pans, cook at 400 degrees for 10 - 12 minutes. STANDARD Oven: Arrange fries in a single layer on sheet pans, cook at 400 degrees for 23 - 28 minutes.",Deep Fry- Fill Fryer basket half full. Fry at 345-350 Degrees Fahrenheit for 2.75 - 3.25  minutes.
27,Potato,Tator Tots,"Potatoes, Vegetable Oil (Contains one or more of the following Oils: Canola, Soybean, Cottonseed, Sunflower, Corn). Contains 2 % or less of Dextrose, Natural Flavor, Salt, Sodium Acid Pyrophosphate added to maintain Color.","CONVECTION Oven: 425 degrees for 8 - 12 minutes, turn once",Deep Fry- Fill basket half full at 350 degrees for 2.5 - 3 minutes.
25,Potato,Curly Fries,"Contains: WHEAT, Potatoes, Vegetable Oil (Contains one or more of the following oils: Canola, Soybean, Cottonseed, Sunflower, Corn), Bleached enriched wheat flower (Flour, Niacin, reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid). Contains 2 % or less of Caramel color, Cocoa Powder (Processed with Alkali), Degermed Yellow Corn Meal, Dextrin, Dextrose, Garlic Powder, Leavening (Sodium Acid Pyrophosphate, Sodium Bicarbonate), Natural Garlic Flavor, Onion Powder, Paprika Extract (Color), Rice Flour, Salt, Sodium Acid Pyrophosphate added to maintain color, Spices, Tapioca Starch, Tapioca Starch – Modified, Xanthan gum.","Spread frozen spirals in a single layer on a flat baking sheet or pan, cook at 425 degrees fahrenheit for 10 - 14 minutes, turn once and always cook to a light golden color. NOT RECOMMENDED FOR MICROWAVE!","Fill basket half full, fry at 350 degrees for 2.5 - 3 minutes, shake basket after 30 seconds."
70,Potato,Sidewinder Battered French Fries,"Potatoes, Vegetable Oil (Soybean, Canola, and /or Cottonseed Oils), Food Starch-Modified. Contains less than 2% of Dextrose, Leavening (Sodium Acid Pyrophosphate, Sodium Bicarbonate), Rice Flour, Salt, Xanthan Gum, Disodium Dihydrogen Pyrophosphate (to maintain natural color).","CONVECTION Oven: Arrange fries in a single layer on sheet pans, cook at 425 degrees for 10 minutes. STANDARD Oven: Arrange fries in a single layer on sheet pans, cook at 450 degrees for 30 minutes. NOTE: Ensure that product reaches an internal temperature of 165 degrees Fahrenheit.",Fill fryer basket half full and fry for 3.5 - 4 minutes at 345 degrees.
22,Potato,Seasoned Potato Wedges,"Potatoes, Vegetable Oil (Contains one or more of the following oils: Canola, Soybean, Cottonseed, Sunflower, Corn), Potato Starch-Modified. Contains 2 % or less of Annatto Extract (color). Corn Starch, Corn Starch -Modified, Dextrin, Dextrose, Extractives of Capsicum, Garlic Powder, Leavening (Sodium Acid Pyrophosphate, Sodium Bicarbonate), Onion Powder, Paprika (Color), Paprika Extract (Color), Potassium Chloride, Rice Flour, Salt, Sodium, Acid Pyrophosphate Added to maintain color, Spices, Tapioca Starch-Modified, Xanthan Gum.",Bake in an Oven by spreading the wedges in a single layer on a flat baking sheet or pan for 13 - 16 minutes at 425 Degrees Fahrenheit. Not recommended for cooking in a microwave oven.,Product must be fully cooked for food safety and quality. Cook from a frozen state using recommended time and temperature. Deep fry at 350 Degrees Fahrenheit for 3.5 - 4 minutes
23,Potato,Steak Cut French Fries,"Potatoes, Vegetable Oil (Contains one or more of the following oils: Canola, Soybean, Cottonseed, Sunflower, Corn). Contains 2% or less of Dextrose, Sodium Acid Pyrophosphate added to maintain color.","Heat oven to 375 - 400 degrees, spray cookie sheet with Pam cooking spray, spread fries onto the baking sheet, place on center rack in oven for 15 minutes, flip the french fries and cook for 10 - 12 more minutes on the top rack of the oven.","Deep Fry at 350 Degrees Fahrenheit for 3.5 – 4 minutes. For best results, cook from frozen state using recommended time and temperature. Always cook to light golden color. Do not overcook."
6,Potato,Sweet Potato French Fries,"Sweet Potatoes, Vegetable Oil (Contains one or more of the following oils: Canola, Soybean, Cottonseed, Sunflower, Corn), Potato Starch-Modified, Corn Starch – Modified. Contains 2% or less of Corn Fiber, Dextrin, Extractive of Paprika (Color), Extractive of Turmeric (Color), Garlic Powder, Leavening (Sodium Acid Pyrophosphate, Sodium Bicarbonate), Onion Powder, Paprika (spice and color), Pea Fiber, Rice Flour, Salt, Sodium Acid Pyrophosphate added to maintain Color, Spices, Sugar, Xanthan Gum, Yeast Extract.","Cook from a frozen state using recommended time and temperature. Spread Frozen Fires in a single layer on a flat baking sheet or pan. Not recommended for Microwave. Cook in Convection oven for 8 – 12 minutes at 425 Degrees Fahrenheit, turn once.",No Frying Instructions
1,Potato,Straight Cut French Fries,"Potatoes, Vegetable Oil (Contains one or more of the following oils: Canola, Soybean, Cottonseed, Sunflower, Corn). Contains 2 % or less of Dextrose, Sodium Acid Pyrophosphate added to maintain color.","Heat oven to 375 - 400 degrees, spray cookie sheet with Pam cooking spray, spread fries onto the baking sheet, place on center rack in oven for 15 minutes, flip the french fries and cook for 10 - 12 more minutes on the top rack of the oven.",Heat in oil at 350 degrees Fahrenheit for 4 minutes.
47,Appetizer,Onion Rings,"Contains: MILK AND WHEAT, Onion, Water, Wheat Flour, Modified Corn Starch, Sugar, Corn Starch, Onion Powder, Salt, Leavening (Sodium Aluminum Phosphate, Sodium Bicarbonate), Maltodextrin, Medium Chain Triglycerides, Garlic Powder, Yeast Extract, Natural and Artificial Flavor (Contains Sunflower Oil, Milkfat, Butter Flavor, Flavor), Soybean Oil (As a processing Acid), Tapioca Maltodextrin, Enzyme Modified Butter, Cultured Whey, Beef Gelatin, Guar Gum, Acetic Acid, Carboxymethylcellulose, Sodium Benzoate, Contains 2 % or less of the following; Silicon Dioxide added to prevent caking.",No Baking Instructions,Fry 1 lb. bag at 350 degrees fahrenheit for 2 minutes
17,Chicken,Spicy Breaded Chicken Breast Filet,"Contains: WHEAT, Chicken Breast Fillet with Rib Meat, Water, Seasoning (Salt, Spice Extractives, Flavor [Hydrolyzed Corn Gluten, Autolyzed Yeast Extract, Dextrose], Maltodextrin, Citric Acid, Spice, Dehydrated Jalapeno Pepper, Soybean Oil, Seasoning (Chili Pepper, Salt, Citric Acid, Sodium Benzoate (Preservative)) Dehydrated Onion, Yeast Extract, Dried Ancho Chiles, , Spices, Salt, Dehydrated Garlic, Beef Extract, Citric Acid), Sodium Phosphates. Breaded with: Wheat Flour, Corn Starch, Rice Flour, Salt, Leavening (Sodium Acid Phosphate, Sodium Bicarbonate), Spice, Monosodium Glutamate, Garlic Powder, Dextrose, Modified Cellulose Gum, Extractives of Paprika. Battered with: Water, Wheat Flour, Corn Starch, Rice Flour, Salt, Spices, Leavening (Sodium Acid Pyrophosphate, Sodium Bicarbonate), Garlic Powder, Monosodium Glutamate, Soybean Oil (as a processing aid), Natural Flavors, Modified Cellulose Gum, Extractives of Paprika. Predusted with: Bleached Wheat Flour, Salt, Maltodextrin, Aged Red Cayenne Peppers, Vinegar, Wheat Gluten, Gum Arabic, Soybean oil, Dried Garlic, Dried Onion, Yeast Extract, Natural Flavor, Spices, Extractives of Paprika. Breading set in Soybean Oil.","Heat oven to 350 - 375 degrees, put chicken on baking sheet, cook for 15 minutes on center rack in oven, flip chicken and cook for another 10 - 15 minutes.",Fry at 325 - 350 degrees and cook the chicken for 5 - 7 minutes until golden brown.
114,Chicken,Uncooked Popcorn Chicken,"Contains: WHEAT, Chicken Breast with rib meat, wheat flour, water, chicken skin, salt, contains less than 2% of: food starch-modified, dextrose, spices, rice flour, yellow corn flour, extractives of paprika, tapioca maltodextrin, natural flavor, xanthan gum, spice extractives, leavening (sodium acid pyrophosphate, sodium bicarbonate), gum Arabic, garlic extract, sodium phosphates, soybean oil, chicken fat, Breading set in vegetable oil.","Heat oven to 350 - 375 degrees, put chicken on baking sheet, cook for 15 minutes on center rack in oven, flip chicken and cook for another 10 - 15 minutes.",Deep fry from frozen state at 350 degrees for 2.5 - 3 minutes. The internal temperature should be at 165 degrees fahrenheit.
